tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.007385238928000001	0.00030548801569671414	1.0574201719243932	0.002543105377	1.0	0.8260869565217391	0.9047619047619047	19.0	4.0	0.0	23.0	0.8260869565217391	0.04779426579402592	0.015242976865088208	0.14691538480849173
Kraken2	8	0.008865824711000002	8.45847700580958e-05	1.0847834873834599	0.0010611760500000003	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05577279887160279	0.018319063174094243	0.05647381283894369
Kraken2	7	0.009105423438	5.462446861309568e-05	1.0168435234909012	0.0008211294750000005	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05703325912392023	0.01873307235881878	0.04314879107949297
Kraken2	6	0.009219400777999999	3.912165241976248e-05	1.0363116057307427	0.0007093913750000006	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	20.0	0.95	0.05765195590629814	0.01924469566764812	0.03705523197727256
Kraken2	5	0.009191858120999999	4.023468286728612e-05	1.0075449327765071	0.0007382775760000007	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	20.0	0.95	0.0575114105562537	0.01919778047723369	0.03861967177387232
Kraken2	4	0.00659590667	0.00042305627519723804	0.9859340896304273	0.0033315419389999996	1.0	0.7916666666666666	0.8837209302325582	19.0	5.0	0.0	24.0	0.7916666666666666	0.04340843875048502	0.013658811671460108	0.20165903100789423
Kraken2	3	0.009276053562000003	3.2810769064523666e-05	1.075647651647405	0.000654082135	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05795382340187061	0.019035439740495475	0.03406533171495988
Kraken2	2	0.004187603567	0.0007908094532383819	0.7477136159151287	0.005739845042	1.0	0.8260869565217391	0.9047619047619047	19.0	4.0	0.0	23.0	0.8260869565217391	0.029383294145752508	0.009371184292567822	0.40672452889421723
Kraken2	1	0.008016928656999999	0.0002086905667476188	0.9972881356006504	0.00190872856	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05118187269380155	0.01681113335202528	0.10638510313484692
Kraken2	0	0.009450865586	4.711147067428613e-05	2.9802707374949406	0.0006970368750000008	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.058638232085963124	0.01799769632411564	0.03595150610174273
Centrifuge	0	0.008433323223	0.00027413827476604655	3.324304036273185	0.0032833088439999996	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.05341452722240666	0.016206665983187197	0.17872520086084262
Centrifuge	8	0.007598186046000003	0.00038030986853942827	3.024976961018837	0.0031632897909999996	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.04925517712385668	0.015117777066780063	0.18052269910099197
Centrifuge	7	0.007981291489999995	0.0003336364896973808	2.9896375737789715	0.003369423074999999	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.05131561521434029	0.015569828635527158	0.18817229419180792
Centrifuge	6	0.008227670034	0.00030247414482990534	2.891348656741954	0.003501438400999999	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.05273202460923314	0.016184917786768616	0.192890874723367
Centrifuge	5	0.008245818695	0.0003009586587727613	2.8658079814688864	0.003468089136	1.0	0.76	0.8636363636363636	19.0	6.0	0.0	25.0	0.76	0.05286262338548366	0.01642269732093445	0.19086287255407475
Centrifuge	4	0.0053730857989999995	0.0006826752247328097	2.9516466815862694	0.004561104468	1.0	0.6551724137931034	0.7916666666666666	19.0	10.0	0.0	29.0	0.6551724137931034	0.036630403812987274	0.010878285028237157	0.2981533527293695
Centrifuge	3	0.008415647919	0.00027916028451423745	2.7829193500671723	0.003563685258	1.0	0.76	0.8636363636363636	19.0	6.0	0.0	25.0	0.76	0.05377808263118177	0.01670710072619336	0.19430783536531557
Centrifuge	2	0.0035714023950000006	0.0009370339834917621	2.717973646641676	0.006362886774	1.0	0.6333333333333333	0.7755102040816326	19.0	11.0	0.0	30.0	0.6333333333333333	0.025842479847873995	0.007598053552318345	0.47145891333289575
Centrifuge	1	0.006607086814000001	0.0005101999125040476	3.007497507487743	0.0033294467950000005	1.0	0.6785714285714286	0.8085106382978724	19.0	9.0	0.0	28.0	0.6785714285714286	0.043623651492790044	0.013091528854120769	0.2013959194115726
Centrifuge	9	0.0060575477100000006	0.0005857530531320006	2.9858812751016997	0.003874035199	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.04057053274888615	0.012309630117728301	0.2423952097914455
k2Mem	7	0.009190066728	4.116037422966712e-05	1.0490108054292004	0.0007373818810000004	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05748520397039692	0.018881517593078455	0.038576432463554924
k2Mem	6	0.009252317612	3.418114156842906e-05	1.0477691250646768	0.0006769223890000003	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05782957957429414	0.018994630769591857	0.035298513621667714
k2Mem	2	0.0056475883380000015	0.0005504331220956192	1.34008892243087	0.004284338751	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.038080028496374034	0.011687814664785403	0.27512474288033534
k2Mem	4	0.007584755250000002	0.0002587394460793808	1.2567486729088464	0.002347171839	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.04893062565330957	0.014846191617678597	0.1340512059640324
k2Mem	3	0.009289041156000004	3.148148139176176e-05	1.0729066853570763	0.0006415423890000001	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05802292958533101	0.019058138270354914	0.03338966261831982
k2Mem	8	0.009039365845000001	5.6185667069857426e-05	1.1136137533422437	0.0008903220040000003	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05669918294773991	0.01862334211934315	0.0469476916505118
k2Mem	5	0.00922499888	3.4946908474047956e-05	1.0017665921225818	0.0007060325150000006	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	20.0	0.95	0.05768647585679248	0.019256218710210726	0.03686899993605829
k2Mem	9	0.008131353845	0.0001800702799747617	1.2367222656438888	0.0018014689400000007	1.0	0.76	0.8636363636363636	19.0	6.0	0.0	25.0	0.76	0.0518667053995222	0.016113298002617397	0.09977057099403563
k2Mem	0	0.009471680234	4.590508328738125e-05	2.9678391806834243	0.0007005905950000002	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.05874302494102701	0.01802986015162688	0.0360960469004486
k2Mem	1	0.008535312823000001	0.00012175860323561876	1.162584678405509	0.0013921357859999998	1.0	0.7916666666666666	0.8837209302325582	19.0	5.0	0.0	24.0	0.7916666666666666	0.054007324476971416	0.01699383564911438	0.07541333583266309
Mash	9	0.7782099999999998	0.21099172477592368	0.7744170094847352	0.768540064039	0.5789473684210527	1.0	0.7333333333333334	11.0	0.0	8.0	11.0	0.5789473684210527	1.4553740712222474	0.6069381293386552	0.9751378844854087
Mash	7	0.8297880000000001	0.213152874974319	0.6686766784779208	0.8200401384730002	0.7368421052631579	0.9333333333333333	0.8235294117647058	14.0	1.0	5.0	15.0	0.7	1.4364005053551876	0.5304187140882968	0.9765721995074051
Mash	6	0.8193179999999998	0.21408638381155545	0.6111209394715426	0.809490869361	0.8421052631578947	0.8421052631578947	0.8421052631578947	16.0	3.0	3.0	19.0	0.7272727272727273	1.4867643407976008	0.5049397699586555	0.9761808084718506
Mash	4	0.8617019999999996	0.21475142217404097	0.8008026711038597	0.8519859356870002	0.6842105263157895	1.0	0.8125000000000001	13.0	0.0	6.0	13.0	0.6842105263157895	1.6344230125306751	0.6372145351626828	0.9774664722320752
Mash	3	0.8289629999999998	0.21227229924706031	0.5509350877141664	0.8190942194890001	0.8947368421052632	0.9444444444444444	0.918918918918919	17.0	1.0	2.0	18.0	0.85	1.464395906094137	0.5066462132746679	0.9764050175244993
Mash	2	0.8571420000000001	0.21219870331881396	0.8850118729053484	0.8476556817570001	0.42105263157894735	1.0	0.5925925925925926	8.0	0.0	11.0	8.0	0.42105263157894735	1.4230757379779644	0.6843547699967371	0.9776129352139514
Mash	1	0.7971009999999998	0.21206211717958387	0.7674682054832299	0.787478535937	0.631578947368421	0.9230769230769231	0.7499999999999999	12.0	1.0	7.0	13.0	0.6	1.4964016923246524	0.5834039911827351	0.9757786845030085
Mash	0	0.8071270000000004	0.21257409456982088	0.37864091063787403	0.7972061971989999	0.9473684210526315	0.9473684210526315	0.9473684210526315	18.0	1.0	1.0	19.0	0.9	1.4827026238741825	0.5035603163676124	0.975695685737731
Mash	8	0.8360260000000003	0.21373837538209675	0.7072654752278916	0.826214096197	0.7368421052631579	0.9333333333333333	0.8235294117647058	14.0	1.0	5.0	15.0	0.7	1.5295539643790441	0.5648174335012315	0.9766692504791723
Mash	5	0.8230359999999999	0.21372061737646145	0.6197431644479011	0.8132393230330002	0.7368421052631579	0.9333333333333333	0.8235294117647058	14.0	1.0	5.0	15.0	0.7	1.4875992141245116	0.5493248291774798	0.9763236884628413
SourMash	4	na	0.00045853141015680975	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
SourMash	1	0.005	0.0004010487642594758	0.9960464552288929	0.012717766133000002	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.026491586832740183	0.0	0.8521252493787167
SourMash	3	0.034	0.008047495256011856	0.9895405674866891	0.038308746473	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.11496742164844319	0.0	0.872144666162501
SourMash	0	0.11600000000000002	0.023126042585013284	0.97459510679467	0.110933240823	0.15789473684210525	1.0	0.2727272727272727	3.0	0.0	16.0	3.0	0.15789473684210525	0.33716249356527145	0.3068985273904287	0.8808602720463551
SourMash	5	0.015	0.0032154130438975725	0.9935480046347198	0.019308746473000002	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.06299557616819891	0.0	0.774681292606619
SourMash	6	0.023	0.004832746377230905	0.9935480046347198	0.027308746472999995	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.08676200445021871	0.0	0.8294288314155894
SourMash	7	na	0.0013787047273634762	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
SourMash	8	na	0.0008787047273634765	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
SourMash	9	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
SourMash	2	0.005	0.0006475421137194762	0.997932688421215	0.012717766133000002	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.026491586832740183	0.0	0.8521252493787167
mOTU	8	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	2	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	3	1.0	0.10295685997710137	0.9976524480612128	1.002962962963	0.05263157894736842	1.0	0.1	1.0	0.0	18.0	1.0	0.05263157894736842	0.0	0.0	0.9931066166280395
mOTU	4	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	5	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	6	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
