tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.007191096775000012	0.00030548801569671414	1.0574201719243932	0.0028474181590000002	0.9911504424778761	0.6511627906976745	0.7859649122807018	112.0	60.0	1.0	172.0	0.6473988439306358	0.05358825176631487	0.010410550610146275	0.1656333039871564
Kraken2	8	0.008666532310000011	8.45847700580958e-05	1.0847834873834599	0.0013760132599999993	1.0	0.6975308641975309	0.8218181818181818	113.0	49.0	0.0	162.0	0.6975308641975309	0.06322286682928127	0.012426863820042726	0.0737155266284007
Kraken2	7	0.00890389179500001	5.462446861309568e-05	1.0168435234909012	0.0011332795950000018	1.0	0.6975308641975309	0.8218181818181818	113.0	49.0	0.0	162.0	0.6975308641975309	0.06475651452192155	0.012728312203834406	0.05994953880026177
Kraken2	6	0.009036902684000007	3.912165241976248e-05	1.0363116057307427	0.001011017062000001	1.0	0.7151898734177216	0.8339483394833949	113.0	45.0	0.0	158.0	0.7151898734177216	0.06567804466511229	0.012973197389213818	0.053108274936504406
Kraken2	5	0.008993909269000004	4.023468286728612e-05	1.0075449327765071	0.0010468449070000008	1.0	0.7583892617449665	0.8625954198473283	113.0	36.0	0.0	149.0	0.7583892617449665	0.06535838532177374	0.013061368233331741	0.055114768205082924
Kraken2	4	0.006421245907000016	0.00042305627519723804	0.9859340896304273	0.0036163733309999995	0.9911504424778761	0.6511627906976745	0.7859649122807018	112.0	60.0	1.0	172.0	0.6473988439306358	0.04852790142063291	0.009427480036981802	0.22022527097880384
Kraken2	3	0.009096466480000008	3.2810769064523666e-05	1.075647651647405	0.0009523489620000006	1.0	0.738562091503268	0.849624060150376	113.0	40.0	0.0	153.0	0.738562091503268	0.06608778246142608	0.013137580364600315	0.049870428264736096
Kraken2	2	0.004075417618000006	0.0007908094532383819	0.7477136159151287	0.005957275292000005	0.9823008849557522	0.7025316455696202	0.8191881918819187	111.0	47.0	2.0	158.0	0.69375	0.032517598671996224	0.00642310879299261	0.42323968290946096
Kraken2	1	0.007817860178000012	0.0002086905667476188	0.9972881356006504	0.002219311211999997	1.0	0.7018633540372671	0.8248175182481753	113.0	48.0	0.0	161.0	0.7018633540372671	0.05762954654682588	0.011341263636475443	0.12455542860263809
Kraken2	0	0.00930905522999999	4.711147067428613e-05	2.9802707374949406	0.0013502445420000017	1.0	0.44664031620553357	0.6174863387978141	113.0	140.0	0.0	253.0	0.44664031620553357	0.06768201772520221	0.012231565817494376	0.06992804805395961
Centrifuge	0	0.008420685461999998	0.00027413827476604655	3.324304036273185	0.0036721752040000015	1.0	0.5044642857142857	0.6706231454005935	113.0	111.0	0.0	224.0	0.5044642857142857	0.06512489743927408	0.012034212292385629	0.1993506274006645
Centrifuge	8	0.007606164111000014	0.00038030986853942827	3.024976961018837	0.0037738253089999994	1.0	0.5022222222222222	0.668639053254438	113.0	112.0	0.0	225.0	0.5022222222222222	0.06095298457304913	0.011254035199982724	0.2143468210293521
Centrifuge	7	0.007988835228999985	0.0003336364896973808	2.9896375737789715	0.0038699653249999956	1.0	0.518348623853211	0.6827794561933536	113.0	105.0	0.0	218.0	0.518348623853211	0.06343680209665681	0.01178138365007572	0.2151315120987042
Centrifuge	6	0.008246244197000015	0.00030247414482990534	2.891348656741954	0.0038851915610000013	1.0	0.5207373271889401	0.6848484848484848	113.0	104.0	0.0	217.0	0.5207373271889401	0.06531143393946387	0.012139903356424269	0.21293102940939534
Centrifuge	5	0.008262910180000006	0.0003009586587727613	2.8658079814688864	0.003910805068000002	1.0	0.5406698564593302	0.7018633540372671	113.0	96.0	0.0	209.0	0.5406698564593302	0.06544609871989837	0.012250468733930027	0.21413920498814853
Centrifuge	4	0.005364632445999995	0.0006826752247328097	2.9516466815862694	0.0049462502339999975	1.0	0.4870689655172414	0.655072463768116	113.0	119.0	0.0	232.0	0.4870689655172414	0.04473407733508486	0.008213004278082064	0.32192440980624637
Centrifuge	3	0.008428008702000007	0.00027916028451423745	2.7829193500671723	0.003929101660000004	1.0	0.5458937198067633	0.7062499999999999	113.0	94.0	0.0	207.0	0.5458937198067633	0.06643985934807153	0.012458909221310844	0.21321357734622154
