tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.008102243719	0.00030548801569671414	1.0574201719243932	0.0018977562810000008	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.03984587173720456	0.028742720777581363	0.10483541766748661
Kraken2	8	0.009648663173	8.45847700580958e-05	1.0847834873834599	0.00035133682700000016	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.0457734657050451	0.0330185759884848	0.017880953218373956
Kraken2	7	0.009848403421	5.462446861309568e-05	1.0168435234909012	0.00015159657900000055	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.046505456955965675	0.033546596062323415	0.0076377215730917885
Kraken2	6	0.009948273546000001	3.912165241976248e-05	1.0363116057307427	5.172645400000038e-05	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.04688271730956003	0.03381873188295071	0.0025930291100490998
Kraken2	5	0.009944466837000001	4.023468286728612e-05	1.0075449327765071	5.553316300000001e-05	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.046871039372093755	0.03381030803171551	0.002784389447652599
Kraken2	4	0.007272157283999999	0.00042305627519723804	0.9859340896304273	0.0027278427160000013	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.03656447505379722	0.026375693416410734	0.1579329478736816
Kraken2	3	0.009987012405	3.2810769064523666e-05	1.075647651647405	1.2987595000000726e-05	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.047028520010503644	0.03392390629975049	0.0006498017180772709
Kraken2	2	0.004658291908000001	0.0007908094532383819	0.7477136159151287	0.005341708092	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.02546810196768593	0.018371352204817473	0.36441545341887177
Kraken2	1	0.008784316359999999	0.0002086905667476188	0.9972881356006504	0.00121568364	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.04248056089824287	0.030643247271038298	0.06471801351199134
Kraken2	0	0.009988831164	4.711147067428613e-05	2.9802707374949406	1.1845733999999961e-05	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.046888920838389296	0.033823206783089706	0.000592617642462967
Centrifuge	0	0.008511980588	0.00027413827476604655	3.324304036273185	0.0015150840319999989	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.041441608066288195	0.029893801221849023	0.08184343240842204
Centrifuge	8	0.007678806371000001	0.00038030986853942827	3.024976961018837	0.0023415328250000005	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.03836983368645089	0.023840518102634153	0.13244858141786142
Centrifuge	7	0.008065507215	0.0003336364896973808	2.9896375737789715	0.0019488259510000005	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.03985501963926936	0.024763316019437473	0.10787551812449904
