tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.008104035111	0.00030548801569671414	1.0574201719243932	0.0018959648890000003	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03902411539988374	0.0	0.10472609434169806
Kraken2	8	0.009650006718	8.45847700580958e-05	1.0847834873834599	0.00034999328199999957	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04478371901791584	0.0	0.017811356862254667
Kraken2	7	0.009850418738	5.462446861309568e-05	1.0168435234909012	0.00014958126200000034	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04551131160591903	0.0	0.0075354209890622775
Kraken2	6	0.009950064937999999	3.912165241976248e-05	1.0363116057307427	4.993506200000053e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04587155257955984	0.0	0.0025030024791992747
Kraken2	5	0.009946482153000001	4.023468286728612e-05	1.0075449327765071	5.351784699999973e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04585861744930226	0.0	0.0026830719617368976
Kraken2	4	0.007274396525	0.00042305627519723804	0.9859340896304273	0.0027256034750000003	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.035814723269184036	0.0	0.15778284764133027
Kraken2	3	0.009987908102	3.2810769064523666e-05	1.075647651647405	1.2091897999999546e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04600810119607098	0.0	0.0006049606561273726
Kraken2	2	0.004661426844	0.0007908094532383819	0.7477136159151287	0.0053385731559999995	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.02502456090353078	0.0	0.3641237113415562
Kraken2	1	0.008786779524	0.0002086905667476188	0.9972881356006504	0.001213220476	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.041601069286327744	0.0	0.06457841667062297
Kraken2	0	0.009989677288	4.711147067428613e-05	2.9802707374949406	1.0322712000000455e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046014481396586586	0.0	0.000516402133525051
Centrifuge	0	0.008511980588	0.00027413827476604655	3.324304036273185	0.001488019412	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04057048817339341	0.0	0.08038142676989285
Centrifuge	8	0.007678806371	0.00038030986853942827	3.024976961018837	0.002321193629	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03739034401502081	0.0	0.13129809673166878
Centrifuge	7	0.008065507215	0.0003336364896973808	2.9896375737789715	0.0019344927850000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03887702459885409	0.0	0.107082118535469
Centrifuge	6	0.008315897296	0.00030247414482990534	2.891348656741954	0.001684102704	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0398297074220977	0.0	0.09194759485617941
Centrifuge	5	0.008332496846000001	0.0003009586587727613	2.8658079814688864	0.0016675031539999997	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03989259629233171	0.0	0.09095886763312522
Centrifuge	4	0.005428195207999999	0.0006826752247328097	2.9516466815862694	0.004571804792000001	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.028314272696328635	0.0	0.29632790682019483
Centrifuge	3	0.008502988317999999	0.00027916028451423745	2.7829193500671723	0.0014970116820000002	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04053661600959688	0.0	0.08090648149756888
Centrifuge	2	0.003614643263	0.0009370339834917621	2.717973646641676	0.006385356737	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.020324279182803565	0.0	0.4690065405057833
Centrifuge	1	0.00667702838	0.0005101999125040476	3.007497507487743	0.00332297162	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03344578429896286	0.0	0.19925442016906855
Centrifuge	9	0.006127311908000001	0.0005857530531320006	2.9858812751016997	0.0038726880919999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.031218648898107496	0.0	0.2401322746215965
k2Mem	7	0.009948049622	4.116037422966712e-05	1.0490108054292004	5.1950377999999685e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04586427672959049	0.0	0.002604283575809108
k2Mem	6	0.009985668861	3.418114156842906e-05	1.0477691250646768	1.4331139000000048e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046000025390840506	0.0	0.0007170707720453534
k2Mem	2	0.006418334901	0.0005504331220956192	1.34008892243087	0.003581665099	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.032403583477310684	0.0	0.2181503252672626
k2Mem	4	0.008474853329999999	0.0002587394460793808	1.2567486729088464	0.0015251466700000006	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04043057541269019	0.0	0.08255257255674249
k2Mem	3	0.009996865063	3.148148139176176e-05	1.0729066853570763	3.1349370000000045e-06	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0460403993870307	0.0	0.00015677142342679237
k2Mem	8	0.009857584307000001	5.6185667069857426e-05	1.1136137533422437	0.0001424156929999998	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.045537250089223734	0.0	0.0071718538769993696
k2Mem	5	0.009984773165	3.4946908474047956e-05	1.0017665921225818	1.522683499999955e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04599679492959819	0.0	0.000761921832901602
k2Mem	9	0.009019884455	0.0001800702799747617	1.2367222656438888	0.000980115545	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0424685362455384	0.0	0.0515310987992014
k2Mem	0	0.01	4.590508328738125e-05	2.9678391806834243	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04605170185988091	0.0	0.0
k2Mem	1	0.009421604192000001	0.00012175860323561876	1.162584678405509	0.0005783958079999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.043949427292573985	0.0	0.029781052187143636
Mash	9	1.0	0.21099172477592368	0.7744170094847352	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	7	1.0	0.213152874974319	0.6686766784779208	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	6	1.0	0.21408638381155545	0.6111209394715426	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	4	1.0	0.21475142217404097	0.8008026711038597	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	3	1.0	0.21227229924706031	0.5509350877141664	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	2	1.0	0.21219870331881396	0.8850118729053484	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	1	1.0	0.21206211717958387	0.7674682054832299	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	0	1.0	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	8	1.0	0.21373837538209675	0.7072654752278916	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
Mash	5	1.0	0.21372061737646145	0.6197431644479011	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
SourMash	4	0.006999999999999999	0.00045853141015680975	0.9981137668076779	0.0030000000000000005	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.034732915909487766	0.0	0.17647058823529416
SourMash	1	0.012	0.0004010487642594758	0.9960464552288929	0.0019999999999999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.05307418355032965	0.0	0.09090909090909088
SourMash	3	0.099	0.008047495256011856	0.9895405674866891	0.08900000000000001	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.22895090745590715	0.0	0.8165137614678899
SourMash	0	0.261	0.023126042585013284	0.97459510679467	0.251	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.35058430150311476	0.0	0.9261992619926199
SourMash	5	0.044000000000000004	0.0032154130438975725	0.9935480046347198	0.034	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.13743688838281054	0.0	0.6296296296296297
SourMash	6	0.062	0.004832746377230905	0.9935480046347198	0.052000000000000005	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.17239849542409683	0.0	0.7222222222222222
SourMash	7	0.024	0.0013787047273634762	0.9981137668076779	0.013999999999999999	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.08951283476722059	0.0	0.4117647058823529
SourMash	8	0.018000000000000002	0.0008787047273634765	0.9981137668076779	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
SourMash	9	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
SourMash	2	na	0.0006475421137194762	0.997932688421215	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
mOTU	8	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	2	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	3	1.0	0.10295685997710137	0.9976524480612128	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
mOTU	4	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	5	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	6	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	7	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	1	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
mOTU	0	1.0	0.10283481429700107	0.969791747827403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
mOTU	9	0.018000000000000002	0.000921864743490143	0.9986419121015281	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
Weight+GCN	9	0.008112992073000001	0.00030469313873176195	0.7493185308999104	0.0018870079269999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03905828478360159	0.0	0.10417980195623527
Weight+GCN	8	0.009651574186	8.617561192385731e-05	0.5431898897957534	0.0003484258139999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04478942572289016	0.0	0.017730173201504745
Weight+GCN	7	0.009852657978	5.639423645742868e-05	0.37918999757970323	0.0001473420219999999	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.045519417940579655	0.0	0.007421778089527308
Weight+GCN	6	0.009950512786	4.1499949846619134e-05	0.30053299561203634	4.9487214000000225e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04587316937967272	0.0	0.002480498347627796
Weight+GCN	5	0.009947377848999999	4.253195187219052e-05	0.30430653984452855	5.262215100000023e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04586185135193416	0.0	0.0026380485394293706
Weight+GCN	4	0.007285368802999999	0.0004217830751375717	0.7402915577653992	0.0027146311970000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03585776357266104	0.0	0.15704791884618952
Weight+GCN	3	0.00998835595	3.5724117039142984e-05	0.24054539085873328	1.164405000000035e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046009716296148966	0.0	0.0005825416572091989
Weight+GCN	2	0.004670831654	0.0007893941893267627	0.6689402064136016	0.005329168345999999	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.025065635711251512	0.0	0.3632492330144762
Weight+GCN	0	0.009989846513	4.5735205976001183e-05	2.1664688482246826	1.0153486999999739e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046015091654854304	0.0	0.000507932214156653
Weight+GCN	1	0.008795064714	0.00020830264501652373	0.6869866077507853	0.0012049352859999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.041632006481604956	0.0	0.06410913206925388
