tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.0003204352940000005	0.00030548801569671414	1.0574201719243932	0.0008701688290000015	0.6868686868686869	0.35233160621761656	0.4657534246575343	68.0	125.0	31.0	193.0	0.30357142857142855	0.003952033295002499	0.0007509530588242509	0.6281926948371843
Kraken2	8	0.000404630731000001	8.45847700580958e-05	1.0847834873834599	0.000821801238000001	0.6767676767676768	0.3284313725490196	0.4422442244224422	67.0	137.0	32.0	204.0	0.2838983050847458	0.0048966405007596974	0.0009207465244160745	0.5592807111001931
Kraken2	7	0.00042366427400000116	5.462446861309568e-05	1.0168435234909012	0.0008291907290000016	0.6666666666666666	0.30414746543778803	0.4177215189873418	66.0	151.0	33.0	217.0	0.264	0.00511457200979794	0.0009506820806594178	0.557093428158109
Kraken2	6	0.000437547568000001	3.912165241976248e-05	1.0363116057307427	0.0008090375630000012	0.6767676767676768	0.32682926829268294	0.44078947368421056	67.0	138.0	32.0	205.0	0.28270042194092826	0.005256269871160996	0.000987461960762994	0.5385303321716469
Kraken2	5	0.000443369594000001	4.023468286728612e-05	1.0075449327765071	0.0008045590790000009	0.6868686868686869	0.3300970873786408	0.4459016393442623	68.0	138.0	31.0	206.0	0.2869198312236287	0.0053390055019403694	0.0010020888873536482	0.5334818087968627
Kraken2	4	0.00028483137300000055	0.00042305627519723804	0.9859340896304273	0.0008847238940000008	0.6161616161616161	0.3546511627906977	0.45018450184501846	61.0	111.0	38.0	172.0	0.2904761904761905	0.003526274821614198	0.0006850468392920223	0.6555500274741917
Kraken2	3	0.0004397868040000015	3.2810769064523666e-05	1.075647651647405	0.000810828957000001	0.6565656565656566	0.3125	0.4234527687296417	65.0	143.0	34.0	208.0	0.26859504132231404	0.005291266406362917	0.0009913308958835586	0.538919484537828
Kraken2	2	0.0001748846729999999	0.0007908094532383819	0.7477136159151287	0.0009610819900000008	0.5555555555555556	0.38461538461538464	0.4545454545454546	55.0	88.0	44.0	143.0	0.29411764705882354	0.00225728213742972	0.0004548363500373182	0.7752890153091773
Kraken2	1	0.00034170808300000056	0.0002086905667476188	0.9972881356006504	0.0008587487000000008	0.5858585858585859	0.3258426966292135	0.4187725631768953	58.0	120.0	41.0	178.0	0.2648401826484018	0.004171590449867741	0.000805049151393558	0.6105715624542186
Kraken2	0	0.000905521841000006	4.711147067428613e-05	2.9802707374949406	0.0011974345880000046	0.8585858585858586	0.1827956989247312	0.30141843971631205	85.0	380.0	14.0	465.0	0.17745302713987474	0.010747691410922817	0.0017498576939869723	0.6375923666490283
Centrifuge	0	0.0007074107520000017	0.00027413827476604655	3.324304036273185	0.0009807104470000029	0.898989898989899	0.18464730290456433	0.306368330464716	89.0	393.0	10.0	482.0	0.18089430894308944	0.008698456423278147	0.00140798561183082	0.5837751331141791
Centrifuge	8	0.0005965344870000035	0.00038030986853942827	3.024976961018837	0.0010218751260000019	0.7676767676767676	0.18952618453865336	0.304	76.0	325.0	23.0	401.0	0.1792452830188679	0.007460297451410039	0.0012446355456048337	0.6151081908042783
Centrifuge	7	0.0006379272080000015	0.0003336364896973808	2.9896375737789715	0.0010049351510000013	0.797979797979798	0.19651741293532338	0.3153692614770459	79.0	323.0	20.0	402.0	0.1872037914691943	0.007921056106692942	0.0013209571242513098	0.5902057861299064
Centrifuge	6	0.0006821906809999985	0.00030247414482990534	2.891348656741954	0.000993278598000001	0.8181818181818182	0.2025	0.32464929859719444	81.0	319.0	18.0	400.0	0.1937799043062201	0.008414552157002193	0.001404423257592972	0.5685788812522693
Centrifuge	5	0.000682980477000001	0.0003009586587727613	2.8658079814688864	0.0010045643979999994	0.797979797979798	0.19651741293532338	0.3153692614770459	79.0	323.0	20.0	402.0	0.1872037914691943	0.008422184564087156	0.001404527950798116	0.5747793132255617
Centrifuge	4	0.00040299772599999844	0.0006826752247328097	2.9516466815862694	0.0010815030090000003	0.7474747474747475	0.2005420054200542	0.3162393162393162	74.0	295.0	25.0	369.0	0.18781725888324874	0.005233497246505893	0.0008854131789126071	0.736840864594197
Centrifuge	3	0.0006850041080000013	0.00027916028451423745	2.7829193500671723	0.0009860450629999998	0.7676767676767676	0.19791666666666666	0.3146997929606625	76.0	308.0	23.0	384.0	0.18673218673218672	0.008408996160349857	0.001413124059467003	0.5635306601536503
Centrifuge	2	0.00028326430599999886	0.0009370339834917621	2.717973646641676	0.0011010371810000028	0.696969696969697	0.20353982300884957	0.31506849315068497	69.0	270.0	30.0	339.0	0.18699186991869918	0.003797223960034648	0.0006517720374265487	0.8167791430374821
Centrifuge	1	0.0005151465819999985	0.0005101999125040476	3.007497507487743	0.0010556425569999992	0.7272727272727273	0.1782178217821782	0.2862823061630219	72.0	332.0	27.0	404.0	0.16705336426914152	0.006554747395570021	0.0010922003442289684	0.6681682014949438
Centrifuge	9	0.00047842741100000087	0.0005857530531320006	2.9858812751016997	0.0010706500720000004	0.7575757575757576	0.19788918205804748	0.3138075313807531	75.0	304.0	24.0	379.0	0.18610421836228289	0.006124152443580242	0.0010314299116758355	0.6937918731053485
k2Mem	7	0.00043150161400000117	4.116037422966712e-05	1.0490108054292004	0.0008298625010000015	0.6666666666666666	0.2986425339366516	0.41250000000000003	66.0	155.0	33.0	221.0	0.25984251968503935	0.00520690475002218	0.0009645698060486768	0.5546243669558802
