rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.00027413827476604655	3.324304036273185	0.0038726880919999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.031218648898107496	0.0	0.2401322746215965
superkingdom	0	0.00027413827476604655	3.324304036273185	0.001488019412	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04057048817339341	0.0	0.08038142676989285
superkingdom	1	0.00027413827476604655	3.324304036273185	0.00332297162	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03344578429896286	0.0	0.19925442016906855
superkingdom	2	0.00027413827476604655	3.324304036273185	0.006385356737	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.020324279182803565	0.0	0.4690065405057833
superkingdom	3	0.00027413827476604655	3.324304036273185	0.0014970116820000002	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04053661600959688	0.0	0.08090648149756888
superkingdom	8	0.00027413827476604655	3.324304036273185	0.002321193629	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03739034401502081	0.0	0.13129809673166878
superkingdom	5	0.00027413827476604655	3.324304036273185	0.0016675031539999997	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03989259629233171	0.0	0.09095886763312522
superkingdom	6	0.00027413827476604655	3.324304036273185	0.001684102704	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0398297074220977	0.0	0.09194759485617941
superkingdom	7	0.00027413827476604655	3.324304036273185	0.0019344927850000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03887702459885409	0.0	0.107082118535469
superkingdom	4	0.00027413827476604655	3.324304036273185	0.004571804792000001	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.028314272696328635	0.0	0.29632790682019483
phylum	0	0.00027413827476604655	3.324304036273185	0.001488019412	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04057048817339341	0.0	0.08038142676989285
phylum	8	0.00027413827476604655	3.324304036273185	0.002321193629	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03739034401502081	0.0	0.13129809673166878
phylum	7	0.00027413827476604655	3.324304036273185	0.0019344927850000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03887702459885409	0.0	0.107082118535469
phylum	6	0.00027413827476604655	3.324304036273185	0.001684102704	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0398297074220977	0.0	0.09194759485617941
phylum	5	0.00027413827476604655	3.324304036273185	0.0016675031539999997	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03989259629233171	0.0	0.09095886763312522
phylum	4	0.00027413827476604655	3.324304036273185	0.004571804792000001	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.028314272696328635	0.0	0.29632790682019483
phylum	3	0.00027413827476604655	3.324304036273185	0.0014970116820000002	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04053661600959688	0.0	0.08090648149756888
phylum	2	0.00027413827476604655	3.324304036273185	0.006385356737	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.020324279182803565	0.0	0.4690065405057833
phylum	1	0.00027413827476604655	3.324304036273185	0.00332297162	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03344578429896286	0.0	0.19925442016906855
phylum	9	0.00027413827476604655	3.324304036273185	0.0038726880919999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.031218648898107496	0.0	0.2401322746215965
class	0	0.00027413827476604655	3.324304036273185	0.001488019412	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04057048817339341	0.0	0.08038142676989285
class	9	0.00027413827476604655	3.324304036273185	0.0038726880919999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.031218648898107496	0.0	0.2401322746215965
class	1	0.00027413827476604655	3.324304036273185	0.00332297162	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03344578429896286	0.0	0.19925442016906855
class	2	0.00027413827476604655	3.324304036273185	0.006385356737	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.020324279182803565	0.0	0.4690065405057833
class	3	0.00027413827476604655	3.324304036273185	0.0014970116820000002	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04053661600959688	0.0	0.08090648149756888
class	4	0.00027413827476604655	3.324304036273185	0.004571804792000001	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.028314272696328635	0.0	0.29632790682019483
class	5	0.00027413827476604655	3.324304036273185	0.0016675031539999997	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03989259629233171	0.0	0.09095886763312522
class	6	0.00027413827476604655	3.324304036273185	0.001684102704	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0398297074220977	0.0	0.09194759485617941
class	7	0.00027413827476604655	3.324304036273185	0.0019344927850000004	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03887702459885409	0.0	0.107082118535469
class	8	0.00027413827476604655	3.324304036273185	0.002321193629	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03739034401502081	0.0	0.13129809673166878
order	8	0.00027413827476604655	3.324304036273185	0.0023415328250000005	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.03836983368645089	0.023840518102634153	0.13244858141786142
order	7	0.00027413827476604655	3.324304036273185	0.0019488259510000005	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.03985501963926936	0.024763316019437473	0.10787551812449904
order	6	0.00027413827476604655	3.324304036273185	0.0017189571890000005	1.0	0.6666666666666666	0.8	4.0	2.0	0.0	6.0	0.6666666666666666	0.04087358353494578	0.022811981316083335	0.09385055840434048
order	4	0.00027413827476604655	3.324304036273185	0.004572129922	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.02900312089491075	0.01802065222326388	0.296348980574812
order	9	0.00027413827476604655	3.324304036273185	0.0038726880920000005	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.032009018880637424	0.023089626401408405	0.24013227462159661
order	2	0.00027413827476604655	3.324304036273185	0.006386089633000001	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.020772932497502183	0.012906948653946752	0.4690603719566589
order	1	0.00027413827476604655	3.324304036273185	0.003323270516000001	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.03429829601857133	0.021310729512205213	0.1992723427865271
order	0	0.00027413827476604655	3.324304036273185	0.0015150840319999989	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.041441608066288195	0.029893801221849023	0.08184343240842204
order	3	0.00027413827476604655	3.324304036273185	0.0015315695680000003	1.0	0.8	0.888888888888889	4.0	1.0	0.0	5.0	0.8	0.041573753714579845	0.025831225543645888	0.08277417364578157
order	5	0.00027413827476604655	3.324304036273185	0.0016951627870000002	1.0	0.6666666666666666	0.8	4.0	2.0	0.0	6.0	0.6666666666666666	0.04093383907023988	0.022845610570639507	0.09246764372292272
family	0	0.00027413827476604655	3.324304036273185	0.0032833088439999996	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.05341452722240666	0.016206665983187197	0.17872520086084262
family	9	0.00027413827476604655	3.324304036273185	0.003874035199	1.0	0.7037037037037037	0.8260869565217391	19.0	8.0	0.0	27.0	0.7037037037037037	0.04057053274888615	0.012309630117728301	0.2423952097914455
