rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	4.711147067428613e-05	2.9802707374949406	0.0018959648890000003	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.03902411539988374	0.0	0.10472609434169806
superkingdom	0	4.711147067428613e-05	2.9802707374949406	1.0322712000000455e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046014481396586586	0.0	0.000516402133525051
superkingdom	1	4.711147067428613e-05	2.9802707374949406	0.001213220476	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.041601069286327744	0.0	0.06457841667062297
superkingdom	2	4.711147067428613e-05	2.9802707374949406	0.0053385731559999995	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.02502456090353078	0.0	0.3641237113415562
superkingdom	3	4.711147067428613e-05	2.9802707374949406	1.2091897999999546e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04600810119607098	0.0	0.0006049606561273726
superkingdom	8	4.711147067428613e-05	2.9802707374949406	0.00034999328199999957	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04478371901791584	0.0	0.017811356862254667
superkingdom	5	4.711147067428613e-05	2.9802707374949406	5.351784699999973e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04585861744930226	0.0	0.0026830719617368976
superkingdom	6	4.711147067428613e-05	2.9802707374949406	4.993506200000053e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04587155257955984	0.0	0.0025030024791992747
superkingdom	7	4.711147067428613e-05	2.9802707374949406	0.00014958126200000034	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04551131160591903	0.0	0.0075354209890622775
superkingdom	4	4.711147067428613e-05	2.9802707374949406	0.0027256034750000003	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.035814723269184036	0.0	0.15778284764133027
phylum	0	4.711147067428613e-05	2.9802707374949406	1.0322712000000455e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046014481396586586	0.0	0.000516402133525051
phylum	8	4.711147067428613e-05	2.9802707374949406	0.00034999328199999957	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04478371901791584	0.0	0.017811356862254667
phylum	7	4.711147067428613e-05	2.9802707374949406	0.00014958126200000034	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04551131160591903	0.0	0.0075354209890622775
phylum	6	4.711147067428613e-05	2.9802707374949406	4.993506200000053e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04587155257955984	0.0	0.0025030024791992747
phylum	5	4.711147067428613e-05	2.9802707374949406	5.351784699999973e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04585861744930226	0.0	0.0026830719617368976
phylum	4	4.711147067428613e-05	2.9802707374949406	0.0027256034750000003	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.035814723269184036	0.0	0.15778284764133027
phylum	3	4.711147067428613e-05	2.9802707374949406	1.2091897999999546e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04600810119607098	0.0	0.0006049606561273726
