rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	0	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	1	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	2	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	3	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	8	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	5	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	6	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	7	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	4	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	0	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	8	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	7	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	6	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	5	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	4	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	3	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	2	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	1	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	9	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	0	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	9	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	1	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	2	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	3	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	4	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	5	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
class	6	0.21257409456982088	0.37864091063787403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
