rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	4.590508328738125e-05	2.9678391806834243	0.000980115545	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0424685362455384	0.0	0.0515310987992014
superkingdom	0	4.590508328738125e-05	2.9678391806834243	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04605170185988091	0.0	0.0
superkingdom	1	4.590508328738125e-05	2.9678391806834243	0.0005783958079999996	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.043949427292573985	0.0	0.029781052187143636
superkingdom	2	4.590508328738125e-05	2.9678391806834243	0.003581665099	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.032403583477310684	0.0	0.2181503252672626
superkingdom	3	4.590508328738125e-05	2.9678391806834243	3.1349370000000045e-06	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0460403993870307	0.0	0.00015677142342679237
superkingdom	8	4.590508328738125e-05	2.9678391806834243	0.0001424156929999998	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.045537250089223734	0.0	0.0071718538769993696
superkingdom	5	4.590508328738125e-05	2.9678391806834243	1.522683499999955e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04599679492959819	0.0	0.000761921832901602
superkingdom	6	4.590508328738125e-05	2.9678391806834243	1.4331139000000048e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.046000025390840506	0.0	0.0007170707720453534
superkingdom	7	4.590508328738125e-05	2.9678391806834243	5.1950377999999685e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04586427672959049	0.0	0.002604283575809108
superkingdom	4	4.590508328738125e-05	2.9678391806834243	0.0015251466700000006	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.04043057541269019	0.0	0.08255257255674249
