rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	0	0.10283481429700107	0.969791747827403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	1	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	2	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	3	0.10283481429700107	0.969791747827403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
superkingdom	8	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	5	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	6	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	7	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
superkingdom	4	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	1.0	na	0.0	na	na	na
phylum	0	0.10283481429700107	0.969791747827403	0.99	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9801980198019802
phylum	8	0.10283481429700107	0.969791747827403	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
phylum	7	0.10283481429700107	0.969791747827403	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
phylum	6	0.10283481429700107	0.969791747827403	0.008	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.07231290337954752	0.0	0.28571428571428575
