tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	0	0.0
Gold standard	phylum	Bray-Curtis distance	0	0.0
Gold standard	class	Bray-Curtis distance	0	0.0
Gold standard	order	Bray-Curtis distance	0	0.0
Gold standard	family	Bray-Curtis distance	0	0.0
Gold standard	genus	Bray-Curtis distance	0	0.0
Gold standard	species	Bray-Curtis distance	0	0.0
Gold standard	strain	Bray-Curtis distance	0	0.0
Gold standard	superkingdom	Shannon diversity	0	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	0	0.0
Gold standard	phylum	Shannon diversity	0	0.04605170185988091
Gold standard	phylum	Shannon equitability	0	0.0
Gold standard	class	Shannon diversity	0	0.04605170185988091
Gold standard	class	Shannon equitability	0	0.0
Gold standard	order	Shannon diversity	0	0.04693925201270478
Gold standard	order	Shannon equitability	0	0.03385951305088324
Gold standard	family	Shannon diversity	0	0.06123324792505593
Gold standard	family	Shannon equitability	0	0.020796236009071867
Gold standard	genus	Shannon diversity	0	0.07219676182424008
Gold standard	genus	Shannon equitability	0	0.015272020107693478
Gold standard	species	Shannon diversity	0	0.08616030815702228
Gold standard	species	Shannon equitability	0	0.01480396571459265
Gold standard	strain	Shannon diversity	0	0.011124816282125144
Gold standard	strain	Shannon equitability	0	0.002421006773479325
Gold standard	superkingdom	F1 score	0	1.0
Gold standard	superkingdom	False negatives	0	0.0
Gold standard	superkingdom	False positives	0	0.0
Gold standard	superkingdom	Jaccard index	0	1.0
Gold standard	superkingdom	Purity	0	1.0
Gold standard	superkingdom	Completeness	0	1.0
Gold standard	superkingdom	True positives	0	1.0
Gold standard	phylum	F1 score	0	1.0
Gold standard	phylum	False negatives	0	0.0
Gold standard	phylum	False positives	0	0.0
Gold standard	phylum	Jaccard index	0	1.0
Gold standard	phylum	Purity	0	1.0
Gold standard	phylum	Completeness	0	1.0
Gold standard	phylum	True positives	0	1.0
Gold standard	class	F1 score	0	1.0
Gold standard	class	False negatives	0	0.0
Gold standard	class	False positives	0	0.0
Gold standard	class	Jaccard index	0	1.0
Gold standard	class	Purity	0	1.0
Gold standard	class	Completeness	0	1.0
Gold standard	class	True positives	0	1.0
Gold standard	order	F1 score	0	1.0
Gold standard	order	False negatives	0	0.0
Gold standard	order	False positives	0	0.0
Gold standard	order	Jaccard index	0	1.0
Gold standard	order	Purity	0	1.0
Gold standard	order	Completeness	0	1.0
Gold standard	order	True positives	0	4.0
Gold standard	family	F1 score	0	1.0
Gold standard	family	False negatives	0	0.0
Gold standard	family	False positives	0	0.0
Gold standard	family	Jaccard index	0	1.0
Gold standard	family	Purity	0	1.0
Gold standard	family	Completeness	0	1.0
Gold standard	family	True positives	0	19.0
Gold standard	genus	F1 score	0	1.0
Gold standard	genus	False negatives	0	0.0
Gold standard	genus	False positives	0	0.0
Gold standard	genus	Jaccard index	0	1.0
Gold standard	genus	Purity	0	1.0
Gold standard	genus	Completeness	0	1.0
Gold standard	genus	True positives	0	113.0
Gold standard	species	F1 score	0	1.0
Gold standard	species	False negatives	0	0.0
Gold standard	species	False positives	0	0.0
Gold standard	species	Jaccard index	0	1.0
Gold standard	species	Purity	0	1.0
Gold standard	species	Completeness	0	1.0
Gold standard	species	True positives	0	337.0
Gold standard	strain	F1 score	0	1.0
Gold standard	strain	False negatives	0	0.0
Gold standard	strain	False positives	0	0.0
Gold standard	strain	Jaccard index	0	1.0
Gold standard	strain	Purity	0	1.0
Gold standard	strain	Completeness	0	1.0
Gold standard	strain	True positives	0	99.0
Gold standard	superkingdom	L1 norm error	0	0.0
Gold standard	phylum	L1 norm error	0	0.0
Gold standard	class	L1 norm error	0	0.0
Gold standard	order	L1 norm error	0	0.0
